"","regulator","regulatees","mean_edge_weight"
"206","AIRE","TNFSF10",0.159384494670791
"207","AIRE","TNFSF11",0.193449443893969
"208","AIRE","TNFSF12",1.23714712562519
"209","AIRE","TNFSF13B",0.290306432083454
"210","AIRE","TNFSF4",0.181782574362111
"211","AIRE","TNFSF8",0.43951345762076
"212","AIRE","XCL1",0.154820463860947
"213","AIRE","XCL2",0.174460165298419
"214","ALX3","ADAMTS1",0.186881035805004
"215","ALX3","ADAMTS10",0.525094610779202
"216","ALX3","ADAMTS13",0.237010877355007
"217","ALX3","ADAMTS14",0.256965543228272
"218","ALX3","ADAMTS15",0.220546159260639
"219","ALX3","ADAMTS17",0.182938729710931
"220","ALX3","ADAMTS4",0.241431656365423
"221","ALX3","ADAMTS6",0.433347492947113
"222","ALX3","ADAMTS8",0.233716128581676
"223","ALX3","ADAMTSL1",0.270480852883972
"224","ALX3","ADAMTSL4",0.377067521451965
"225","ALX3","CCL13",0.619596284772162
"226","ALX3","CCL17",0.288731303745344
"227","ALX3","CCL2",0.365907495249081
"228","ALX3","CCL20",0.243000281017424
"229","ALX3","CCL23",0.190763554606787
"230","ALX3","CCL25",0.348891911851071
"231","ALX3","CCL28",0.231087056604745
"232","ALX3","CCL4L2",0.388031369825719
"233","ALX3","CCL8",0.156707191962416
"234","ALX3","CSF1",0.133959205159362
"235","ALX3","CSF2",0.170585945546436
"236","ALX3","CSF2RA",0.321698984480517
"237","ALX3","CSF3R",0.183416334945616
"238","ALX3","CXCL1",0.156779420573905
"239","ALX3","CXCL10",0.319800394573685
"240","ALX3","CXCL12",0.346660174140596
"241","ALX3","CXCL14",0.252578724063511
"242","ALX3","CXCL3",0.271130442303703
"243","ALX3","IFNAR1",0.208619404406888
"244","ALX3","IFNAR2",0.269095238446395
"245","ALX3","IFNB1",0.252579633700765
"246","ALX3","IFNG",0.520640984348967
"247","ALX3","IFNG-AS1",0.544256757236706
"248","ALX3","IFNGR1",0.266479961963841
"249","ALX3","IFNLR1",0.186569469958729
"250","ALX3","IFNW1",0.295341029351227
"251","ALX3","IL10RA",0.289987878917051
"252","ALX3","IL10RB",0.212982743575777
"253","ALX3","IL10RB-DT",0.210873888980468
"254","ALX3","IL12A",0.199434977707685
"255","ALX3","IL12B",0.324995260736636
"256","ALX3","IL13RA1",0.253148569270007
"257","ALX3","IL13RA2",0.189744062045871
"258","ALX3","IL15",0.258448505500835
"259","ALX3","IL15RA",0.423027151642282
"260","ALX3","IL16",0.140936374868859
"261","ALX3","IL17C",0.206030365434868
"262","ALX3","IL17RA",0.206833902695786
"263","ALX3","IL17RD",0.377103906099386
"264","ALX3","IL17REL",0.291933363451738
"265","ALX3","IL18",0.384533070202463
"266","ALX3","IL18BP",0.182106119039022
"267","ALX3","IL18R1",0.219373608293655
"268","ALX3","IL18RAP",0.143627463282302
"269","ALX3","IL1A",0.3363358719815
"270","ALX3","IL1B",0.206889279138418
"271","ALX3","IL1R2",0.250425311260614
"272","ALX3","IL1RAP",0.310435997173329
"273","ALX3","IL1RN",0.207450702837867
"274","ALX3","IL2",0.256455066747107
"275","ALX3","IL20",0.210095629667239
"276","ALX3","IL20RA",0.245104535138279
"277","ALX3","IL20RB",0.277306323594657
"278","ALX3","IL20RB-AS1",0.192815743773226
"279","ALX3","IL21R",0.255187437984977
"280","ALX3","IL21R-AS1",0.652811326668446
"281","ALX3","IL23R",0.212827386644203
"282","ALX3","IL26",0.928769651022413
"283","ALX3","IL27",0.370828241531633
"284","ALX3","IL2RB",0.29437416120724
"285","ALX3","IL3RA",0.387806881650594
"286","ALX3","IL4",0.21250916031487
"287","ALX3","IL4R",0.256410624392003
"288","ALX3","IL5",0.140059461181398
"289","ALX3","IL5RA",0.453209234233017
"290","ALX3","IL6",0.437936932905707
"291","ALX3","IL6ST",0.418697823278432
"292","ALX3","IL7R",0.258869018881119
"293","ALX3","IMMP1L",0.183127988350918
"294","ALX3","IMMP2L",0.251137097450442
"295","ALX3","MMP11",0.195889232202179
"296","ALX3","MMP14",0.198536080996586
"297","ALX3","MMP15",0.24260726632282
"298","ALX3","MMP17",0.199800429471937
"299","ALX3","MMP19",0.706211794470595
"300","ALX3","MMP2-AS1",0.168750109875246
"301","ALX3","MMP3",0.206898607778439
"302","ALX3","MMP9",0.183267552294981
"303","ALX3","NOTCH2",0.304843210416801
"304","ALX3","NOTCH3",0.245374485907802
"305","ALX3","PDGFA",0.315741553344822
"306","ALX3","PDGFB",0.188044189288228
"307","ALX3","PDGFC",0.290187011359449
"308","ALX3","PDGFD",0.441367968516849
"309","ALX3","PDGFRL",0.125905056349849
"310","ALX3","TGFA",0.232326328289342
"311","ALX3","TGFB1",0.479056682088506
"312","ALX3","TGFB2",0.388041329618293
"313","ALX3","TGFB2-AS1",0.27278238710075
"314","ALX3","TGFB3",0.293505192341349
"315","ALX3","TGFBI",0.18832761805469
"316","ALX3","TGFBR1",0.22055705458826
"317","ALX3","TGFBR2",0.234647130272411
